Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,-4,15,1791.064453125,117.16190338134766
xyfnh3max,2,5,28,1832.7230224609375,141.6800994873047
xyfnh3max,3,5,48,1874.8575439453125,140.6367645263672
xyfnh3max,4,7,80,1768.0721435546875,145.1002960205078
xyfnh3max,5,5,137,1744.5469970703125,142.8900146484375
xyfnh3max,6,3,151,1632.0103759765625,137.43603515625
xyfnh3max,7,5,169,1893.791259765625,157.75967407226562
xyfnh3max,8,4,184,1881.427490234375,152.16493225097656
xyfnh3max,9,3,206,1688.07177734375,137.381103515625
xyfnh3max,10,2,214,1725.3297119140625,142.884765625
xyfnh3max,11,5,240,1582.859375,141.0227813720703
xyfnh3min,1,-1,10,1658.63525390625,102.58145141601562
xyfnh3min,2,-3,21,1660.00830078125,102.2101821899414
xyfnh3min,3,-3,43,1678.551513671875,98.33056640625
xyfnh3min,4,-5,48,1698.1861572265625,99.21257019042969
xyfnh3min,5,-7,61,1755.0419921875,95.4239730834961
xyfnh3min,6,-8,74,1861.869873046875,90.85315704345703
xyfnh3min,7,-6,80,1771.075439453125,85.52657318115234
xyfnh3min,8,-8,140,1803.3890380859375,103.79548645019531
xyfnh3min,9,0,142,1758.9393310546875,112.08799743652344
xyfnh3min,10,-8,148,1815.7890625,98.60330200195312
xyfnh3min,11,-9,208,1793.4208984375,103.13202667236328
xyPcldmax,1,8,26,1982.1536865234375,128.76052856445312
xyPcldmax,2,9,43,1997.879150390625,122.28922271728516
xyPcldmax,3,11,58,1965.6317138671875,84.70941162109375
xyPcldmax,4,0,67,1807.7879638671875,118.72710418701172
xyPcldmax,5,11,144,1881.6783447265625,72.95989990234375
xyPcldmax,6,-7,166,1794.8663330078125,113.9106216430664
xyPcldmax,7,8,169,2012.24609375,136.92529296875
xyPcldmax,8,7,185,2032.0587158203125,137.84829711914062
xyPcldmax,9,-10,187,1814.0867919921875,117.71285247802734
xyPcldmax,10,-9,208,1793.4208984375,103.13202667236328
xyPcldmax,11,-9,218,1826.1141357421875,115.6264419555664
xyPcldmax,12,-9,236,1831.9923095703125,105.0296401977539
xyPcldmin,1,0,8,1637.756103515625,108.5891342163086
xyPcldmin,2,5,16,1600.510009765625,106.73042297363281
xyPcldmin,3,-1,24,1620.46044921875,109.09185791015625
xyPcldmin,4,6,35,1653.49267578125,125.29511260986328
xyPcldmin,5,-4,40,1631.1636962890625,105.28873443603516
xyPcldmin,6,-4,55,1692.71875,101.78544616699219
xyPcldmin,7,6,59,1757.2076416015625,114.1130599975586
xyPcldmin,8,-5,63,1689.880126953125,98.44654846191406
xyPcldmin,9,6,72,1539.2039794921875,114.43508911132812
xyPcldmin,10,-3,137,1667.8021240234375,119.24421691894531
xyPcldmin,11,4,139,1663.96240234375,139.86395263671875
xyPcldmin,12,5,151,1599.7718505859375,131.3515167236328
xyPcldmin,13,-3,161,1683.161376953125,119.82706451416016
xyPcldmin,14,-2,171,1700.954833984375,122.99628448486328
xyPcldmin,15,-4,187,1706.549072265625,129.1741180419922
xyPcldmin,16,-4,197,1675.3082275390625,122.10369110107422
xyPcldmin,17,6,201,1624.3106689453125,122.27240753173828
xyPcldmin,18,-4,206,1666.9141845703125,114.14025115966797
xyPcldmin,19,1,216,1696.5386962890625,133.85678100585938
xyPcldmin,20,6,235,1526.1890869140625,130.2986297607422
xyPcldmin,21,4,243,1521.7252197265625,138.4080352783203
