Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
0,2022-10-20T03:50:30.000,2459872.660069444,16,348,-1,12,94.63507231228752,1639.7943562717314,0.6803921759128571
1,2022-10-20T03:50:30.000,2459872.660069444,16,342,-1,18,97.21924864318981,1619.2534823142673,0.6941176652908325
2,2022-10-20T03:50:30.000,2459872.660069444,9,331,6,29,98.49185105954031,1676.9658260952406,0.6921568810939789
3,2022-10-19T03:42:24.000,2459871.6544444445,15,318,0,42,110.31036189957578,1736.25205290347,0.7686274647712708
4,2022-10-19T03:42:24.000,2459871.6544444445,6,316,9,44,104.79859935198743,1849.9292402196331,0.7450980544090271
5,2022-10-19T03:42:24.000,2459871.6544444445,14,311,1,49,113.76642631495703,1781.9815102701648,0.7568627595901489
6,2022-10-19T03:42:24.000,2459871.6544444445,20,309,-5,51,108.52026645739821,1791.9243449152154,0.7647058963775635
7,2022-10-19T03:42:24.000,2459871.6544444445,9,305,6,55,101.50413501804063,1751.3869408253333,0.7411764860153198
8,2022-10-19T03:42:24.000,2459871.6544444445,21,303,-6,57,107.93069874626069,1770.2814835479305,0.7411764860153198
9,2022-10-19T03:42:24.000,2459871.6544444445,10,299,5,61,113.73473612408316,1775.2200383423701,0.7490196228027344
10,2022-10-19T03:42:24.000,2459871.6544444445,16,291,-1,69,107.60864715417388,1639.952571114459,0.7137255072593689
11,N/A,0.0,14,167,1,193,118.59080320964097,1746.453322655613,0.772549033164978
12,2022-10-20T04:40:24.000,2459872.694722222,8,159,7,201,110.14513830397632,1791.13498190586,0.8352941274642944
13,2022-10-20T04:40:24.000,2459872.694722222,19,150,-4,210,122.79509744994894,1823.8898599645554,0.7568627595901489
14,2022-10-20T04:40:24.000,2459872.694722222,10,142,5,218,137.91857692389073,1867.521695672291,0.7529411911964417
15,2022-10-20T04:40:24.000,2459872.694722222,23,139,-8,221,115.88289376375667,1867.7845047138746,0.772549033164978
16,2022-10-20T04:40:24.000,2459872.694722222,15,134,0,226,127.62015983489124,1802.247055961732,0.7764706015586853
17,2022-10-20T04:40:24.000,2459872.694722222,6,133,9,227,116.21413444535166,2001.8828263143962,0.7372549176216125
18,2022-10-20T04:40:24.000,2459872.694722222,9,129,6,231,128.99236156398732,1853.271379293628,0.7372549176216125
19,2022-10-20T04:40:24.000,2459872.694722222,16,121,-1,239,125.11958323438009,1816.655665659931,0.6745098233222961
20,2022-10-20T04:40:24.000,2459872.694722222,7,112,8,248,110.74707112108423,1770.7426277586903,0.6039215922355652
