Type,No.,Lat,Lon,PCld,fNH3
xyfnh3max,1,3,135,1615.3983154296875,137.98233032226562
xyfnh3max,2,-5,137,1618.02587890625,117.9394760131836
xyfnh3max,3,5,168,1742.3358154296875,148.9549560546875
xyfnh3max,4,-10,183,2030.4156494140625,118.22394561767578
xyfnh3max,5,-5,204,1760.2867431640625,123.76278686523438
xyfnh3max,6,-6,295,1664.4942626953125,168.46058654785156
xyfnh3max,7,2,296,1603.8114013671875,171.68870544433594
xyfnh3max,8,-3,338,1812.2532958984375,125.73331451416016
xyfnh3max,9,4,344,1732.232177734375,122.31311798095703
xyfnh3min,1,-3,135,1540.736328125,107.64804077148438
xyfnh3min,2,-8,156,1918.0830078125,100.0659408569336
xyfnh3min,3,-8,172,1924.70361328125,105.85169219970703
xyfnh3min,4,-4,185,1733.6641845703125,110.47125244140625
xyfnh3min,5,-2,199,1595.085205078125,111.94792938232422
xyfnh3min,6,-8,344,1903.5714111328125,110.77192687988281
xyPcldmax,1,7,168,1866.3629150390625,139.04278564453125
xyPcldmax,2,5,215,1785.79541015625,155.3068084716797
xyPcldmax,3,-10,308,1904.86865234375,133.6125030517578
xyPcldmax,4,-8,322,1880.4942626953125,114.5955810546875
xyPcldmax,5,10,340,1793.187255859375,96.46617889404297
xyPcldmax,6,-8,341,1939.63037109375,112.98049926757812
xyPcldmin,1,1,139,1531.3526611328125,122.217041015625
xyPcldmin,2,1,148,1540.66943359375,122.1037368774414
xyPcldmin,3,2,165,1650.751953125,137.71714782714844
xyPcldmin,4,9,174,1711.2965087890625,106.26603698730469
xyPcldmin,5,7,182,1630.4200439453125,105.80347442626953
xyPcldmin,6,8,195,1630.8642578125,107.25806427001953
xyPcldmin,7,-1,208,1573.1016845703125,121.90625762939453
xyPcldmin,8,8,217,1703.3167724609375,144.88771057128906
xyPcldmin,9,0,294,1577.1575927734375,169.4417266845703
xyPcldmin,10,9,322,1677.0872802734375,104.91519165039062
xyPcldmin,11,6,334,1665.5179443359375,120.26258850097656
xyPcldmin,12,8,346,1698.9520263671875,104.77557373046875
