Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
NH3,maxima,0,2025-11-02T07:56:03.529,2460981.8305964055,13,161,2,19,138.67947794411617,1953.572404252233,0.7771225883901409
NH3,maxima,1,2025-11-02T08:47:34.444,2460981.8663708847,9,127,6,53,155.2210671015155,1980.606754077219,0.7324131133398826
NH3,maxima,2,2025-11-02T09:29:05.556,2460981.8952031895,19,102,-4,78,146.53763752669784,2108.4720337059603,0.7072904565558377
NH3,maxima,3,2025-11-02T09:44:19.615,2460981.9057825855,10,91,5,89,141.3379568796888,1899.200100349919,0.7327811380932724
NH3,maxima,4,2025-11-02T10:53:25.385,2460981.9537660256,11,51,4,129,139.09605441487696,1834.432811614483,0.730948318336679
NH3,maxima,5,2025-11-02T12:02:23.265,2460982.001658163,13,6,2,174,146.72852536107172,1896.8662984628018,0.7409345614945828
NH3,minima,0,2025-11-02T08:32:16.667,2460981.8557484564,22,137,-7,43,114.31111211027972,1953.297117788432,0.7466687627919923
PCloud,maxima,0,2025-11-02T07:59:58.868,2460981.8333202302,10,157,5,23,135.5148120008921,1964.0242762957864,0.7523125284969214
PCloud,maxima,1,2025-11-02T08:38:50.000,2460981.860300926,8,134,7,46,144.8640312293043,2015.8616998860252,0.7060880587967308
PCloud,maxima,2,2025-11-02T09:29:05.556,2460981.8952031895,21,102,-6,78,144.02595746012,2161.9545842361663,0.6900957087677589
PCloud,maxima,3,2025-11-02T09:46:38.077,2460981.9073851495,7,90,8,90,134.98543349948383,1924.5505485432639,0.7018981664196507
PCloud,maxima,4,2025-11-02T10:53:25.385,2460981.9537660256,24,51,-9,129,107.72123899479455,1929.780638249741,0.6773525802704795
PCloud,maxima,5,2025-11-02T11:36:44.151,2460981.9838443394,25,26,-10,154,100.38633244185927,1957.9499106090223,0.6440069774992344
PCloud,maxima,6,2025-11-02T11:50:26.809,2460981.993365839,6,12,9,168,111.32257933292976,1930.9700156446531,0.6787100746886154
PCloud,maxima,7,2025-11-02T11:51:52.500,2460981.994357639,25,11,-10,169,108.66115495899675,1970.2141348890798,0.6935124913570603
PCloud,maxima,8,2025-11-02T12:02:23.265,2460982.001658163,24,6,-9,174,112.531565631765,1962.6036896335543,0.7010672496999799
PCloud,minima,0,2025-11-02T08:21:21.111,2460981.848161008,17,142,-2,38,127.81899486009422,1867.13667657928,0.8282902402450283
PCloud,minima,1,2025-11-02T10:17:40.000,2460981.928935185,4,72,11,108,95.41461065266033,1768.0966216770455,0.7044566246698017
PCloud,minima,2,2025-11-02T10:29:55.472,2460981.937447589,14,65,1,115,123.04023304843209,1768.7139549836415,0.7510450577639535
PCloud,minima,3,2025-11-02T11:25:24.906,2460981.9759827047,13,31,2,149,120.9376596986087,1772.3777549306005,0.7624143530537555
RGB,maxima,0,2025-11-02T08:19:10.000,2460981.8466435187,17,143,-2,37,126.28389595380757,1873.1329759022021,0.8311168481032508
RGB,maxima,1,2025-11-02T08:58:30.000,2460981.873958333,15,119,0,61,135.97874220641847,1916.858608528718,0.7884202685828029
RGB,maxima,2,2025-11-02T09:22:32.222,2460981.89065072,7,105,8,75,107.25937434563195,1859.1656738000581,0.7786425835134922
RGB,maxima,3,2025-11-02T09:39:42.692,2460981.9025774575,16,93,-1,87,133.1272821940708,1963.7533567850655,0.7602748252318102
RGB,maxima,4,2025-11-02T09:58:46.415,2460981.9158149892,15,82,0,98,125.51987909169398,1827.7952461240138,0.7709257233314437
RGB,maxima,5,2025-11-02T10:18:36.226,2460981.9295859537,16,70,-1,110,117.62793994294879,1787.1063325178775,0.7651695698783201
RGB,maxima,6,2025-11-02T10:41:53.077,2460981.945753205,16,56,-1,124,125.22791750498249,1805.0157012026966,0.7640940627155189
RGB,maxima,7,2025-11-02T10:58:37.358,2460981.9573768345,17,46,-2,134,125.51209957588352,1834.0513472292016,0.7616761923095485
RGB,maxima,8,2025-11-02T11:20:53.208,2460981.97283805,8,33,7,147,113.21406251000352,1790.4834507511598,0.7656803369213115
RGB,maxima,9,2025-11-02T11:25:24.906,2460981.9759827047,16,31,-1,149,122.99614880112803,1803.7128718917509,0.7718830776660133
RGB,maxima,10,2025-11-02T11:38:35.094,2460981.9851284064,17,20,-2,160,131.2346706088602,1838.4164682209885,0.7826059945685127
RGB,minima,0,2025-11-02T08:11:32.941,2460981.8413534854,5,151,10,29,113.56536151557536,1913.9326426878629,0.7025392145801607
RGB,minima,1,2025-11-02T08:51:56.667,2460981.8694058643,5,125,10,55,130.90964942735351,1986.5180964198844,0.6751309469796904
RGB,minima,2,2025-11-02T09:53:33.462,2460981.912192842,5,87,10,93,121.62440457516841,1911.215447116938,0.6891370748741468
RGB,minima,3,2025-11-02T10:46:30.000,2460981.9489583336,4,54,11,126,110.34182528572256,1897.6166526515988,0.661561619420895
RGB,minima,4,2025-11-02T11:37:40.000,2460981.9844907406,5,22,10,158,86.98729701103768,1812.1321371670385,0.6644907456946054
RGB,minima,5,2025-11-02T12:02:23.265,2460982.001658163,5,6,10,174,106.49038186282857,1908.2390357148363,0.6577104117516229
